Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
11,66633;Left Hand Presence Physics;(-0.09, 0.71, 5.70);(60.27, 295.91, 323.70)
11,66633;Right Hand Presence Physics;(0.57, 1.18, 5.94);(334.13, 337.37, 356.45)
11,66633;Left Hand Presence Physics;(-0.09, 0.71, 5.70);(60.27, 295.91, 323.70)
11,66633;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
11,66633;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
11,66633;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
12,16765;Right Hand Presence Physics;(0.57, 1.18, 5.94);(334.32, 336.77, 356.30)
12,16765;Left Hand Presence Physics;(-0.09, 0.71, 5.68);(63.02, 291.36, 309.05)
12,16765;Right Hand Presence Physics;(0.57, 1.18, 5.94);(334.32, 336.77, 356.30)
12,16765;Left Hand Presence Physics;(-0.09, 0.71, 5.68);(63.02, 291.36, 309.05)
12,16765;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12,16765;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
12,16765;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
12,66847;Right Hand Presence Physics;(0.57, 1.18, 5.94);(333.83, 336.82, 356.30)
12,66847;Left Hand Presence Physics;(-0.12, 0.86, 5.83);(25.42, 313.99, 339.98)
12,66847;Right Hand Presence Physics;(0.57, 1.18, 5.94);(333.83, 336.82, 356.30)
12,66847;Left Hand Presence Physics;(-0.12, 0.86, 5.83);(25.42, 313.99, 339.98)
12,66847;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
12,66847;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
12,66847;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
13,16964;Right Hand Presence Physics;(0.58, 1.18, 5.94);(332.86, 337.92, 355.16)
13,16964;Left Hand Presence Physics;(0.03, 1.11, 5.85);(344.53, 342.22, 13.84)
13,16964;Right Hand Presence Physics;(0.58, 1.18, 5.94);(332.86, 337.92, 355.16)
13,16964;Left Hand Presence Physics;(0.03, 1.11, 5.85);(344.53, 342.22, 13.84)
13,16964;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13,16964;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
13,16964;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
13,67085;Right Hand Presence Physics;(0.49, 1.18, 6.30);(333.13, 337.85, 355.05)
13,67085;Left Hand Presence Physics;(-0.09, 1.08, 6.21);(351.65, 337.96, 12.80)
13,67085;Right Hand Presence Physics;(0.49, 1.18, 6.30);(333.13, 337.85, 355.05)
13,67085;Left Hand Presence Physics;(-0.09, 1.08, 6.21);(351.65, 337.96, 12.80)
13,67085;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
13,67085;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
13,67085;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
14,17182;Right Hand Presence Physics;(1.01, 1.18, 5.95);(333.34, 338.06, 355.06)
14,17182;Left Hand Presence Physics;(0.42, 1.07, 5.86);(349.55, 334.91, 11.13)
14,17182;Right Hand Presence Physics;(1.01, 1.18, 5.95);(333.34, 338.06, 355.06)
14,17182;Left Hand Presence Physics;(0.42, 1.07, 5.86);(349.55, 334.91, 11.13)
14,17182;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,17182;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
14,17182;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
14,6735;Right Hand Presence Physics;(0.74, 1.18, 5.74);(333.50, 338.13, 355.07)
14,6735;Left Hand Presence Physics;(0.04, 0.88, 5.65);(9.76, 321.41, 355.12)
14,6735;Right Hand Presence Physics;(0.74, 1.18, 5.74);(333.50, 338.13, 355.07)
14,6735;Left Hand Presence Physics;(0.04, 0.88, 5.65);(9.76, 321.41, 355.12)
14,6735;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
14,6735;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
14,6735;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
15,17441;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.71, 337.95, 354.95)
15,17441;Left Hand Presence Physics;(-0.11, 0.71, 5.62);(32.72, 299.05, 330.67)
15,17441;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.71, 337.95, 354.95)
15,17441;Left Hand Presence Physics;(-0.11, 0.71, 5.62);(32.72, 299.05, 330.67)
15,17441;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,17441;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
15,17441;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
15,67558;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.83, 337.52, 354.83)
15,67558;Left Hand Presence Physics;(-0.08, 0.68, 5.64);(50.16, 311.60, 346.18)
15,67558;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.83, 337.52, 354.83)
15,67558;Left Hand Presence Physics;(-0.08, 0.68, 5.64);(50.16, 311.60, 346.18)
15,67558;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,67558;Metal Cube;(-0.09, 0.55, 5.65);(0.00, 352.56, 0.00);False
15,67558;cube (1);(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
16,17697;Right Hand Presence Physics;(0.65, 1.18, 5.79);(333.70, 337.43, 354.79)
16,17697;Left Hand Presence Physics;(-0.08, 0.69, 5.64);(38.11, 309.44, 347.73)
