Timestamp;Name;Position;Rotation;Grabbed
19.02358;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
19.02358;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
19.52422;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.52422;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.52422;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.52422;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
19.52422;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
19.52422;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
20.02447;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.02447;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.02447;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.02447;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.02447;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
20.02447;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
20.52483;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.52483;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.52483;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.52483;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
20.52483;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
20.52483;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
21.02513;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.02513;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.02513;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.02513;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.02513;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
21.02513;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
21.52566;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.52566;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.52566;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.52566;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
21.52566;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
21.52566;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
22.02635;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.02635;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.02635;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.02635;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.02635;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
22.02635;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
22.52726;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.52726;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.52726;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.52726;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
22.52726;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
22.52726;Metal Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False
23.02753;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.02753;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.02753;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
23.02753;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
