Timestamp;Type;Name;Position;Rotation
36,7984;1;Left Controller;(27.76, 0.36, -5.66);(350.45, 59.16, 356.04)
36,7984;2;Cube;(148.24, -85.27, 42.94);(20.83, 123.08, 323.84)
37,30033;1;Main Camera;(27.62, 0.65, -5.79);(9.73, 54.08, 2.42)
37,30033;1;Right Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
37,30033;1;Left Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
37,30033;1;Right Controller;(27.84, 0.39, -5.75);(347.92, 55.32, 358.41)
37,30033;1;Left Controller;(27.68, 0.38, -5.54);(351.94, 42.79, 20.81)
37,30033;2;Cube;(161.58, -108.09, 46.40);(39.31, 233.18, 16.25)
37,80143;1;Main Camera;(27.63, 0.67, -5.84);(5.32, 75.69, 2.78)
37,80143;1;Right Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
37,80143;1;Left Hand;(29.01, 0.00, -5.00);(0.00, 64.69, 0.00)
37,80143;1;Right Controller;(27.92, 0.39, -5.90);(348.09, 89.23, 353.39)
37,80143;1;Left Controller;(27.70, 0.37, -5.57);(350.63, 48.40, 16.70)
37,80143;2;Cube;(174.88, -133.31, 49.86);(353.42, 316.29, 27.86)
38,30178;1;Main Camera;(27.62, 0.68, -5.88);(1.97, 144.68, 0.66)
38,30178;1;Right Hand;(29.23, 0.00, -6.24);(0.00, 109.69, 0.00)
38,30178;1;Left Hand;(29.23, 0.00, -6.24);(0.00, 109.69, 0.00)
38,30178;1;Right Controller;(27.71, 0.43, -6.22);(344.05, 159.60, 350.63)
38,30178;1;Left Controller;(27.90, 0.38, -5.73);(350.13, 95.95, 17.27)
38,30178;2;Cube;(188.17, -160.97, 53.31);(338.36, 45.29, 342.66)
38,80322;1;Main Camera;(27.62, 0.68, -5.87);(0.17, 137.28, 0.33)
38,80322;1;Right Hand;(29.23, 0.00, -6.24);(0.00, 109.69, 0.00)
38,80322;1;Left Hand;(29.23, 0.00, -6.24);(0.00, 109.69, 0.00)
38,80322;1;Right Controller;(27.77, 0.44, -6.17);(339.65, 141.06, 350.86)
38,80322;1;Left Controller;(27.89, 0.38, -5.72);(349.37, 95.54, 16.81)
38,80322;2;Cube;(201.49, -191.15, 56.77);(19.53, 121.01, 323.51)
39,30415;1;Main Camera;(28.12, 0.69, -6.11);(0.08, 119.21, 358.49)
39,30415;1;Right Hand;(29.71, 0.00, -6.49);(0.00, 109.69, 0.00)
39,30415;1;Left Hand;(29.71, 0.00, -6.49);(0.00, 109.69, 0.00)
39,30415;1;Right Controller;(28.30, 0.41, -6.36);(344.82, 124.77, 358.15)
39,30415;1;Left Controller;(28.37, 0.39, -5.99);(347.61, 97.38, 11.27)
39,30415;2;Cube;(214.80, -223.77, 60.23);(42.24, 218.83, 8.72)
39,8061;1;Main Camera;(28.60, 0.68, -6.42);(2.13, 115.79, 359.29)
39,8061;1;Right Hand;(30.18, 0.00, -6.81);(0.00, 109.69, 0.00)
39,8061;1;Left Hand;(30.18, 0.00, -6.81);(0.00, 109.69, 0.00)
39,8061;1;Right Controller;(28.78, 0.40, -6.66);(347.49, 120.57, 357.13)
39,8061;1;Left Controller;(28.84, 0.39, -6.31);(346.78, 97.78, 8.24)
39,8061;2;Cube;(228.12, -258.91, 63.69);(3.95, 299.75, 31.52)
40,3069;1;Main Camera;(29.71, 0.67, -6.99);(6.22, 99.33, 359.87)
40,3069;1;Right Hand;(31.28, 0.00, -7.41);(0.00, 109.69, 0.00)
40,3069;1;Left Hand;(31.28, 0.00, -7.41);(0.00, 109.69, 0.00)
40,3069;1;Right Controller;(29.90, 0.36, -7.15);(356.68, 95.05, 352.82)
40,3069;1;Left Controller;(29.93, 0.38, -6.90);(348.36, 95.20, 7.19)
40,3069;2;Cube;(241.42, -296.44, 67.14);(335.21, 15.13, 359.51)
40,80806;1;Main Camera;(29.63, 0.67, -6.60);(6.92, 96.72, 359.84)
40,80806;1;Right Hand;(31.20, 0.00, -7.03);(0.00, 109.69, 0.00)
40,80806;1;Left Hand;(31.20, 0.00, -7.03);(0.00, 109.69, 0.00)
40,80806;1;Right Controller;(29.82, 0.36, -6.74);(358.74, 88.99, 349.51)
40,80806;1;Left Controller;(29.86, 0.37, -6.52);(348.92, 95.04, 7.78)
