Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False;
20,90413;Right Hand Presence Physics;(0.27, 0.75, 5.62);(330.32, 284.22, 11.59)
20,90413;Left Hand Presence Physics;(0.18, 0.73, 5.55);(337.97, 351.53, 332.06)
20,90413;Sponge Cube;(0.17, 0.70, 5.63);(290.47, 167.17, 225.05);False;
21,40556;Right Hand Presence Physics;(0.28, 0.76, 5.64);(325.19, 299.61, 20.16)
21,40556;Left Hand Presence Physics;(0.18, 0.73, 5.55);(338.00, 351.82, 330.88)
21,40556;Right Hand Presence Physics;(0.28, 0.76, 5.64);(325.19, 299.61, 20.16)
21,40556;Left Hand Presence Physics;(0.18, 0.73, 5.55);(338.00, 351.82, 330.88)
21,40556;Sponge Cube;(0.17, 0.71, 5.63);(290.72, 164.51, 227.65);False;
21,90622;Right Hand Presence Physics;(0.27, 0.75, 5.63);(319.20, 318.79, 359.47)
21,90622;Left Hand Presence Physics;(0.19, 0.73, 5.55);(338.09, 352.55, 330.43)
21,90622;Right Hand Presence Physics;(0.27, 0.75, 5.63);(319.20, 318.79, 359.47)
21,90622;Left Hand Presence Physics;(0.19, 0.73, 5.55);(338.09, 352.55, 330.43)
21,90622;Sponge Cube;(0.17, 0.70, 5.63);(290.83, 166.90, 226.11);False;
22,40781;Right Hand Presence Physics;(0.27, 0.76, 5.63);(300.14, 283.97, 8.19)
22,40781;Left Hand Presence Physics;(0.19, 0.72, 5.55);(338.27, 353.58, 329.90)
22,40781;Right Hand Presence Physics;(0.27, 0.76, 5.63);(300.14, 283.97, 8.19)
