Timestamp;Name;Position;Rotation;Grabbed
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
0;Metal Cube;(-0.11, 0.56, 5.65);(0.00, 0.00, 0.00);False
0;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
15,75546;Right Hand Presence Physics;(0.52, 1.15, 5.52);(339.71, 5.57, 344.76)
15,75546;Left Hand Presence Physics;(-0.13, 0.76, 5.74);(18.14, 349.00, 10.04)
15,75546;Right Hand Presence Physics;(0.52, 1.15, 5.52);(339.71, 5.57, 344.76)
15,75546;Left Hand Presence Physics;(-0.13, 0.76, 5.74);(18.14, 349.00, 10.04)
15,75546;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
15,75546;Metal Cube;(-0.07, 0.71, 5.75);(330.94, 326.88, 18.70);True
15,75546;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
16,25678;Right Hand Presence Physics;(0.53, 1.15, 5.52);(339.05, 6.25, 343.95)
16,25678;Left Hand Presence Physics;(0.04, 1.28, 5.70);(310.98, 335.05, 18.59)
16,25678;Right Hand Presence Physics;(0.53, 1.15, 5.52);(339.05, 6.25, 343.95)
16,25678;Left Hand Presence Physics;(0.04, 1.28, 5.70);(310.98, 335.05, 18.59)
16,25678;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,25678;Metal Cube;(0.07, 1.28, 5.75);(298.05, 229.06, 121.78);True
16,25678;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
27,43291;Metal Cube;(0.07, 1.10, 5.92);(301.14, 347.01, 345.74);False
16,75795;Right Hand Presence Physics;(0.54, 1.16, 5.52);(338.57, 7.14, 343.68)
16,75795;Left Hand Presence Physics;(0.05, 1.09, 5.80);(349.05, 350.18, 11.44)
16,75795;Right Hand Presence Physics;(0.54, 1.16, 5.52);(338.57, 7.14, 343.68)
16,75795;Left Hand Presence Physics;(0.05, 1.09, 5.80);(349.05, 350.18, 11.44)
16,75795;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
16,75795;Metal Cube;(0.17, 0.08, 6.51);(28.25, 353.44, 322.13);False
16,75795;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
17,25926;Right Hand Presence Physics;(0.53, 1.16, 5.37);(338.67, 7.14, 343.63)
17,25926;Left Hand Presence Physics;(0.08, 1.08, 5.59);(343.67, 355.52, 17.59)
17,25926;Right Hand Presence Physics;(0.53, 1.16, 5.37);(338.67, 7.14, 343.63)
17,25926;Left Hand Presence Physics;(0.08, 1.08, 5.59);(343.67, 355.52, 17.59)
17,25926;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17,25926;Metal Cube;(0.19, 0.05, 6.60);(90.00, 16.05, 0.00);False
17,25926;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
17,7607;Right Hand Presence Physics;(0.16, 1.16, 4.17);(338.40, 7.62, 343.35)
17,7607;Left Hand Presence Physics;(-0.28, 1.08, 4.39);(340.01, 357.78, 11.16)
17,7607;Right Hand Presence Physics;(0.16, 1.16, 4.17);(338.40, 7.62, 343.35)
17,7607;Left Hand Presence Physics;(-0.28, 1.08, 4.39);(340.01, 357.78, 11.16)
17,7607;Rubber Cube;(-0.11, 1.27, 5.65);(0.00, 0.00, 0.00);False
17,7607;Metal Cube;(0.19, 0.05, 6.60);(90.00, 16.05, 0.00);False
17,7607;Sponge Cube;(-0.12, 0.56, 5.65);(270.02, 0.00, 0.00);False
18,26161;Right Hand Presence Physics;(-0.46, 1.16, 3.21);(338.02, 9.07, 342.73)
18,26161;Left Hand Presence Physics;(-0.88, 1.08, 3.42);(337.34, 1.17, 7.27)
